sex,year,age,pop,pcnt
Female,2050,95-99,11981,0.0012307101262143004
Female,2050,100+,2380,2.4447793175778605e-4
Female,2055,0-4,335973,0.033738661618314576
Female,2055,5-9,335545,0.03369568153606797
Female,2055,10-14,334223,0.03356292530071748
Female,2055,15-19,331097,0.0332490100271126
Female,2055,20-24,327391,0.032876850716818395
Female,2055,25-29,323463,0.03248239799937759
Female,2055,30-34,320754,0.03221035817973728
Female,2055,35-39,318417,0.031975674880180466
Female,2055,40-44,310843,0.03121508809762022
Female,2055,45-49,296767,0.029801565579622057
Female,2055,50-54,279286,0.028046110397956396
Female,2055,55-59,268218,0.026934653504719425
Female,2055,60-64,260096,0.026119036149563055
Female,2055,65-69,254900,0.025597249917429035
Female,2055,70-74,212243,0.021313601860435037
Female,2055,75-79,169203,0.0169914926550755
Female,2055,80-84,133169,0.013372931244621841
Female,2055,85-89,86816,0.008718128084862766
Female,2055,90-94,42244,0.004242174286041084
Female,2055,95-99,14188,0.0014247696423243749
Female,2055,100+,3210,3.2235061684953787e-4
Female,2060,0-4,333828,0.03288471495342938
Female,2060,5-9,334676,0.03296824970270298
Female,2060,10-14,334813,0.0329817452930927
Female,2060,15-19,333492,0.032851616279188894
Female,2060,20-24,330174,0.03252476687106411
Female,2060,25-29,326411,0.0321540814211625
Female,2060,30-34,322252,0.031744386819477464
Female,2060,35-39,319040,0.03142797925501189
Female,2060,40-44,316046,0.031133046425619003
Female,2060,45-49,307738,0.03031464230183942
Female,2060,50-54,292547,0.02881820789592516
Female,2060,55-59,273482,0.026940153656654843
Female,2060,60-64,259893,0.025601529001137175
Female,2060,65-69,247566,0.02438722138993942
Female,2060,70-74,235635,0.023211922930525094
Female,2060,75-79,186375,0.01835942086776843
Female,2060,80-84,136590,0.013455202126511013
Female,2060,85-89,93812,0.009241228654310353
Female,2060,90-94,49427,0.004868952891917856
Female,2060,95-99,17486,0.0017225101719318514
Female,2060,100+,3963,3.903870417114221e-4
Female,2065,0-4,331596,0.032137987996181
Female,2065,5-9,332653,0.03224043149161509
Female,2065,10-14,334002,0.0323711753661095
Female,2065,15-19,334131,0.032383677930831356
Female,2065,20-24,332629,0.032238105433062186
Female,2065,25-29,329258,0.03191139112548572
Female,2065,30-34,325260,0.03152390853821467
Female,2065,35-39,320607,0.031072943936270647
Female,2065,40-44,316752,0.030699320781210643
Female,2065,45-49,313022,0.030337812514447005
Female,2065,50-54,303572,0.02942192695924154
Female,2065,55-59,286738,0.027790390722592997
Female,2065,60-64,265268,0.025709537508808736
Female,2065,65-69,247693,0.024006184214339317
Female,2065,70-74,229218,0.022215603724136047
Female,2065,75-79,208036,0.02016266321298662
Female,2065,80-84,151310,0.0146648299849882
